finished	medkorrekt	hpo_id	hpo_label	definition	MANUAL PREFERED LABEL	MANUAL PREFERRED DEFINITION	OFFICIAL COMMENT	chemical_phenotype	correct_pattern	KM review	defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	biological_process	biological_process_label	chemical_entity	chemical_entity_label	role	role_label	add_definitions	add_synonym	curator_comment	time
to do	ignore	HP:0033435	Abnormal circulating keto acid concentration	A deviation from the normal concentration of a keto acid in the blood circulation. Keto acids or ketoacids are organic compounds that contain a carboxylic acid group and a ketone group.				Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0033435				UBERON:0000178										
to do	ignore	HP:0033436	Elevated circulating 3-methyl-2-oxovaleric acid concentration	The concentration of 3-methyl-2-oxovaleric acidin the blood circulation is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033436				UBERON:0000178										
to do	ignore	HP:0033437	Elevated circulating 4-methyl-2-oxopentanoic acid concentration	The concentration of 4-methyl-2-oxopentanoic acid in the blood circulation is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033437				UBERON:0000178										
to do	next	HP:0033438	Elevated circulating myoglobin concentration	An increased blood concentration of myoglobin.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0033438				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P02144  http://purl.obolibrary.org/obo/CHEBI_7044	myoglobin (human) / myoglobin					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000010213). 	2
to do	ignore	HP:0033439	Elevated circulating decenoylcarnitine concentration	Concentration of decenoylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033439				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_86063	o-decenoylcarnitin						
to do	ignore	HP:0033440	Elevated circulating octenoylcarnitine concentration	Concentration of octenoylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033440				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_86052	O-octenoylcarnitine						
to do	ignore	HP:0033441	Elevated circulating hexanoylcarnitine concentration	Concentration of hexanoylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033441				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_70749	O-hexanoylcarnitine						
to do	ignore	HP:0033442	Elevated circulating glutarylcarnitine concentration	Concentration of glutarylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033442				UBERON:0000178										
to do	ignore	HP:0033443	Elevated circulating propionylcarnitine concentration	Increased concentration of propionylcarnitine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033443				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_28867	O-propanoylcarnitine						
to do	ignore	HP:0033444	Elevated circulating dodecanoylcarnitine concentration	Concentration of dodecanoylcarnitine (C12:0) in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033444				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_86065	o-dodecenoylcarnitine						
to do	ignore	HP:0033445	Reduced circulating acylcarnitine concentration	An abnormally reduced concentration in the blood circulation of acylcarnitine, which is produced by reversible esterification of the 3-hydroxyl group of carnitine.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0033445				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_176911	?						
to do	ignore	HP:0033446	Elevated circulating butyrylcarnitine concentration	Concentration of O-butyrylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033446				UBERON:0000178										
to do	ignore	HP:0033447	Elevated circulating isovalerylcarnitine concentration	Concentration of O-isovalerylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033447				UBERON:0000178										
done	next	HP:0033450	Abnormal circulating prealbumin concentration	Any deviation from normal concentration of albumin in the blood circulation.				Yes	abnormalLevelOfChemicalEntityInBlood	OK	HP:0033450				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P02766	transthyretin (human)					The label "prealbumin" is misleading because prealbumin is not a precursor to albumin. Prealbumin is a transport protein for thyroid hormones and retinol-binding protein and exists in the circulation as a retinol-binding-prealbumin complex. Transthyretin is considered a synonym for (thyroxine-binding) prealbumin. See e.g. PMID:19644733.  Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000016801).  Note: From my point of view the definition in HP:0033450 "any deviation from normal concentration of albumin in the blood circulation" must be corrected to "any deviation from normal concentration of prealbumin in the blood circulation".	12
done	next	HP:0033451	Increased circulating prealbumin concentration	An elevation above the normal concentration of prealbumin in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0033451				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P02766	transthyretin (human)					The label "prealbumin" is misleading because prealbumin is not a precursor to albumin. Prealbumin is a transport protein for thyroid hormones and retinol-binding protein and exists in the circulation as a retinol-binding-prealbumin complex. Transthyretin is considered a synonym for (thyroxine-binding) prealbumin. See e.g. PMID:19644733.  Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000016801).  Note: From my point of view the definition in HP:0033450 "any deviation from normal concentration of albumin in the blood circulation" must be corrected to "any deviation from normal concentration of prealbumin in the blood circulation".	2
done	next	HP:0033459	Decreased circulating apolipoprotein concentration	Reduced concentration in the blood circulation of a lipid-transport protein (apoliprotein).				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0033459				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_39015	apolipoprotein						1
done	next	HP:0033460	Increased circulating apolipoprotein circulation	Elevated concentration in the blood circulation of a lipid-transport protein (apoliprotein).				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0033460				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_39015	apolipoprotein						1
to do	ignore	HP:0033461	Elevated circulating 3-hydroxylinoleylcarnitine concentration	Increased concentration of 3-hydroxylinoleylcarnitine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033461				UBERON:0000178										
to do	ignore	HP:0033462	Elevated circulating oleylcarnitine concentration	Increased concentration of oleylcarnitine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033462				UBERON:0000178										
to do	ignore	HP:0033464	Elevated circulating 3-hydroxypalmitoleylcarnitine concentration	Concentration of 3-hydroxypalmitoleylcarnitine in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033464				UBERON:0000178										
done	ignore	HP:0033465	Elevated circulating tetradecanoylcarnitine concentration	Elevated circulating tetradecanoyl concentration.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0033465				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_73061	O-tetradecanoylcarnitine						
to do	ignore	HP:0033477	Abnormal circulating lipoprotein lipase concentration	A deviation from the normal concentration of lipoprotein lipase in the blood circulation.				Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0033477				UBERON:0000178										
to do	ignore	HP:0033478	Increased circulating lipoprotein lipase concentration	Increased concentration of lipoprotein lipase in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033478				UBERON:0000178										
to do	ignore	HP:0033479	Abnormal circulating bilirubin concentration					Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0033479				UBERON:0000178									Needs def	
to do	ignore	HP:0033480	Hypobilirubinemia	Concentration of bilirubin in the blood circulation below the lower limit of normal.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0033480				UBERON:0000178										
